pickup_zone,dropoff_zone,pickup_date,passenger_count,trip_distance,total_amount,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_datetime
Elmhurst/Maspeth,Elmhurst/Maspeth,2023-01-21,2.0,0.88,8.7,0.0,0.0,0.0,0.0,2023-01-21
East Harlem South,Upper West Side North,2023-01-21,1.0,1.32,17.81,0.0,0.0,40.787,-73.975,2023-01-21
Woodside,Astoria,2023-01-21,5.0,1.76,14.64,0.0,0.0,0.0,0.0,2023-01-21
Woodside,Williamsburg (North Side),2023-01-21,5.0,4.53,32.75,0.0,0.0,0.0,0.0,2023-01-21
Upper East Side North,Lincoln Square East,2023-01-21,1.0,2.34,22.14,0.0,0.0,0.0,0.0,2023-01-21
Forest Hills,Woodhaven,2023-01-21,5.0,3.05,19.9,0.0,0.0,0.0,0.0,2023-01-21
Flushing,Flushing,2023-01-21,1.0,0.83,24.8,0.0,0.0,0.0,0.0,2023-01-21
Boerum Hill,West Village,2023-01-21,1.0,3.58,35.31,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,East Harlem North,2023-01-21,1.0,0.87,10.0,40.798,-73.937,40.798,-73.937,2023-01-21
East Harlem North,Manhattan Valley,2023-01-21,1.0,2.45,29.76,40.798,-73.937,0.0,0.0,2023-01-21
Downtown Brooklyn/MetroTech,East Flatbush/Remsen Village,2023-01-21,5.0,4.61,31.1,0.0,0.0,0.0,0.0,2023-01-21
Central Harlem,East Harlem North,2023-01-21,1.0,1.55,12.2,40.8116,-73.9465,40.798,-73.937,2023-01-21
Fort Greene,Sunset Park East,2023-01-21,1.0,3.76,33.12,0.0,0.0,0.0,0.0,2023-01-21
Prospect-Lefferts Gardens,Park Slope,2023-01-21,1.0,3.39,27.24,0.0,0.0,0.0,0.0,2023-01-21
East Harlem South,Hamilton Heights,2023-01-21,1.0,3.05,19.9,0.0,0.0,0.0,0.0,2023-01-21
Woodside,Astoria,2023-01-21,1.0,1.82,17.16,0.0,0.0,0.0,0.0,2023-01-21
Central Park,Central Park,2023-01-21,1.0,0.51,10.15,40.7812,-73.9665,40.7812,-73.9665,2023-01-21
East Harlem South,Yorkville East,2023-01-21,1.0,1.38,17.25,0.0,0.0,0.0,0.0,2023-01-21
Williamsburg (North Side),Penn Station/Madison Sq West,2023-01-21,1.0,4.96,39.45,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Upper West Side South,2023-01-21,1.0,2.9,23.35,40.798,-73.937,0.0,0.0,2023-01-21
East Harlem South,East Harlem North,2023-01-21,1.0,1.8,10.8,0.0,0.0,40.798,-73.937,2023-01-21
East Harlem North,Hamilton Heights,2023-01-21,1.0,2.2,17.15,40.798,-73.937,0.0,0.0,2023-01-21
Sheepshead Bay,Sheepshead Bay,2023-01-21,1.0,1.2,7.5,0.0,0.0,0.0,0.0,2023-01-21
Fort Greene,Sunset Park West,2023-01-21,1.0,2.66,22.9,0.0,0.0,0.0,0.0,2023-01-21
Fort Greene,Fort Greene,2023-01-21,1.0,0.82,10.1,0.0,0.0,0.0,0.0,2023-01-21
Astoria,Astoria,2023-01-21,1.0,0.4,7.3,0.0,0.0,0.0,0.0,2023-01-21
Clinton Hill,Midtown East,2023-01-21,1.0,6.13,43.05,0.0,0.0,0.0,0.0,2023-01-21
Elmhurst,Glendale,2023-01-21,1.0,3.34,20.6,0.0,0.0,0.0,0.0,2023-01-21
Forest Hills,Elmhurst,2023-01-21,1.0,2.41,21.36,0.0,0.0,0.0,0.0,2023-01-21
Fort Greene,Boerum Hill,2023-01-21,2.0,1.16,12.0,0.0,0.0,0.0,0.0,2023-01-21
Fort Greene,Boerum Hill,2023-01-21,2.0,1.21,14.38,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Spuyten Duyvil/Kingsbridge,2023-01-21,4.0,7.4,38.4,40.798,-73.937,0.0,0.0,2023-01-21
East Harlem South,Lincoln Square East,2023-01-21,1.0,3.6,33.09,0.0,0.0,0.0,0.0,2023-01-21
East Harlem North,Manhattanville,2023-01-21,1.0,1.14,14.3,40.798,-73.937,0.0,0.0,2023-01-21
Central Harlem,Times Sq/Theatre District,2023-01-21,1.0,3.63,30.54,40.8116,-73.9465,0.0,0.0,2023-01-21
Kew Gardens,Kew Gardens Hills,2023-01-21,1.0,1.1,8.7,0.0,0.0,0.0,0.0,2023-01-21
Central Harlem North,East Harlem South,2023-01-21,1.0,1.77,12.2,0.0,0.0,0.0,0.0,2023-01-21
East Harlem South,Central Harlem,2023-01-21,1.0,1.5,11.5,0.0,0.0,40.8116,-73.9465,2023-01-21
